lat;long
-29,63584252;-53,77445610
-29,62524837;-53,77574356
-29,62017471;-53,77042206
-29,61644392;-53,77093704
-29,61614545;-53,77016456
-29,61681701;-53,76879127
-29,61256376;-53,76621635
-29,61151907;-53,76741798
-29,61196679;-53,76939209
-29,60995202;-53,76887710
-29,60898193;-53,76673134
-29,60554923;-53,76527221
-29,60353433;-53,76115234
-29,60442984;-53,75943573
-29,60368358;-53,75883491
-29,59995218;-53,75892074
-29,59972829;-53,76029403
-29,59786253;-53,76020820
-29,59629527;-53,75780494
-29,59987755;-53,75625999
-29,60069847;-53,75068100
-29,60286268;-53,74922188
-29,60741484;-53,74853523
-29,60845957;-53,75256927
-29,61233990;-53,75239761
-29,61233990;-53,74553116
-29,61614545;-53,75488670
-29,61666777;-53,76192482
-29,62041733;-53,76441343
-29,62263324;-53,76374582
-29,62484909;-53,76447412
-29,63144362;-53,76034710
-29,63692993;-53,76423135
-29,63719369;-53,77096810
