lat;long
-30,26308625;-51,15312890
-30,24588573;-51,15930871
-30,22334255;-51,18059472
-30,20969548;-51,18128137
-30,21028887;-51,20600060
-30,20079420;-51,18196801
-30,19189211;-51,19226769
-30,19129861;-51,24033288
-30,17705351;-51,24925927
-30,17111745;-51,23003319
-30,15924424;-51,23895959
-30,14380694;-51,22797326
-30,12836722;-51,24857262
-30,12242823;-51,26642540
-30,09451016;-51,26917199
-30,09213379;-51,25406579
-30,05053808;-51,23895959
-30,02795022;-51,24719933
-30,01487069;-51,22179345
-29,96372507;-51,20394067
-29,96372507;-51,17372827
-29,95301684;-51,13870935
-29,96015579;-51,10437707
-29,97264772;-51,08515100
-30,01308699;-51,08927087
-30,01962709;-51,08309106
-30,05172677;-51,09201746
-30,05232111;-51,11948327
-30,08203358;-51,11055688
-30,08975736;-51,11399011
-30,13133659;-51,08789758
-30,16102532;-51,12085656
-30,18061498;-51,12497644
-30,18417632;-51,13733606
-30,19070511;-51,11810998
-30,21800262;-51,11467676
-30,21703342;-51,12892004
-30,25618968;-51,14804755
