lat;long
-29,75061705;-53,78933610
-29,74990811;-53,80934191
-29,74423643;-53,81628270
-29,70878114;-53,83261398
-29,71126342;-53,84037133
-29,72190106;-53,83506367
-29,73253757;-53,84608728
-29,71693697;-53,85261979
-29,71551861;-53,87670841
-29,68714727;-53,88569062
-29,68892071;-53,89589766
-29,65380070;-53,89426453
-29,66089664;-53,85874401
-29,65841312;-53,84445415
-29,66196099;-53,83424710
-29,65451032;-53,81791583
-29,65983228;-53,77504624
-29,67331333;-53,77300483
-29,67153961;-53,75136589
-29,68218146;-53,75177417
-29,68821134;-53,74769135
-29,68679257;-53,74483338
-29,66834684;-53,74075056
-29,66089664;-53,72931867
-29,66408965;-53,72196960
-29,65876791;-53,69094018
-29,66302533;-53,67379234
-29,67251231;-53,66639988
-29,68154220;-53,64619096
-29,67878315;-53,64128308
-29,68053892;-53,63695260
-29,67301399;-53,61472279
-29,68204384;-53,60721662
-29,67727819;-53,60115394
-29,68221828;-53,57125470
-29,69498700;-53,54839092
-29,73044715;-53,53369277
-29,75313508;-53,53450933
-29,76128730;-53,52185260
-29,77121085;-53,51491181
-29,78715734;-53,54308325
-29,78007032;-53,56962157
-29,74285525;-53,63290526
-29,74108276;-53,65005309
-29,74923596;-53,67904110
-29,75029937;-53,70721255
-29,73009262;-53,72150242
-29,72300156;-53,73579228
-29,73292890;-53,79703456
